model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,prompt_condition,n,accuracy,parse_rate,invalid_rate,latency_sec,strict_ccc,correct_flip_rate,wrong_flip_rate,scca,signed_ccc
qwen3_0_6b,Qwen3-0.6B,main,main,nl,Natural Language,640,0.5,1.0,0.0,0.010931521289239703,0.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal,NL + Formal Scaffold,640,0.5,1.0,0.0,0.01128507292578428,0.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise,Concise Symbolic Solver,640,0.4953125,0.9875,0.0125,0.0894831210325719,0.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_binary_score,NL Binary Score,640,0.5,1.0,0.0,0.00398322687560716,0.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,nl_formal_binary_score,Formal Scaffold Binary Score,640,0.5,1.0,0.0,0.00390590036313365,0.0,0.0,0.0,0.0,0.0
qwen3_0_6b,Qwen3-0.6B,main,main,symbolic_solver_concise_binary_score,Concise Symbolic Solver Binary Score,640,0.5,1.0,0.0,0.005465476437348063,0.0,0.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,main,main,nl,Natural Language,640,0.5953125,1.0,0.0,0.029189465354283996,0.40782122905027934,0.2905027932960894,0.11731843575418995,0.2905027932960894,0.17318435754189948
qwen3_4b,Qwen3-4B,main,main,nl_formal,NL + Formal Scaffold,640,0.56875,1.0,0.0,0.0337529721378814,0.40782122905027934,0.28212290502793297,0.12569832402234637,0.28212290502793297,0.1564245810055866
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise,Concise Symbolic Solver,640,0.5671875,0.971875,0.028125,0.49278955750105524,0.46449704142011833,0.3520710059171598,0.11242603550295859,0.3520710059171598,0.23964497041420119
qwen3_4b,Qwen3-4B,main,main,nl_binary_score,NL Binary Score,640,0.6,1.0,0.0,0.014072695263894226,0.40502793296089384,0.3016759776536313,0.10335195530726257,0.3016759776536313,0.19832402234636873
qwen3_4b,Qwen3-4B,main,main,nl_formal_binary_score,Formal Scaffold Binary Score,640,0.56875,1.0,0.0,0.01900554212606944,0.39106145251396646,0.2709497206703911,0.12011173184357542,0.2709497206703911,0.15083798882681565
qwen3_4b,Qwen3-4B,main,main,symbolic_solver_concise_binary_score,Concise Symbolic Solver Binary Score,640,0.584375,1.0,0.0,0.02770629395054125,0.4692737430167598,0.33798882681564246,0.13128491620111732,0.33798882681564246,0.20670391061452514
qwen3_8b,Qwen3-8B,main,main,nl,Natural Language,640,0.5609375,1.0,0.0,0.05396837748539833,0.4441340782122905,0.3016759776536313,0.1424581005586592,0.3016759776536313,0.1592178770949721
qwen3_8b,Qwen3-8B,main,main,nl_formal,NL + Formal Scaffold,640,0.5453125,1.0,0.0,0.06253209956157656,0.4720670391061452,0.3128491620111732,0.15921787709497207,0.3128491620111732,0.15363128491620112
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise,Concise Symbolic Solver,640,0.571875,0.965625,0.034375,0.916402773111804,0.5062111801242236,0.37888198757763975,0.12732919254658384,0.37888198757763975,0.2515527950310559
qwen3_8b,Qwen3-8B,main,main,nl_binary_score,NL Binary Score,640,0.5546875,1.0,0.0,0.021329469555530473,0.4441340782122905,0.30446927374301674,0.13966480446927373,0.30446927374301674,0.164804469273743
qwen3_8b,Qwen3-8B,main,main,nl_formal_binary_score,Formal Scaffold Binary Score,640,0.5359375,1.0,0.0,0.030143029366809015,0.46089385474860334,0.2988826815642458,0.16201117318435754,0.2988826815642458,0.13687150837988826
qwen3_8b,Qwen3-8B,main,main,symbolic_solver_concise_binary_score,Concise Symbolic Solver Binary Score,640,0.5828125,1.0,0.0,0.043027907986106534,0.42178770949720673,0.2849162011173184,0.13687150837988826,0.2849162011173184,0.14804469273743015
