model,model_display_name,layer,mean_recovery,median_recovery,max_recovery,positive_recovery_rate,mean_normalized_recovery
qwen3_4b,Qwen3-4B,0,-0.08984375,-0.140625,0.4375,0.3125,0.08263598956388063
qwen3_4b,Qwen3-4B,1,-0.001953125,-0.125,0.5,0.3125,-0.03222135583235796
qwen3_4b,Qwen3-4B,2,-0.01953125,-0.078125,0.5625,0.375,-0.010114514529088082
qwen3_4b,Qwen3-4B,3,0.009765625,0.0625,0.4375,0.5,0.07883818272574049
qwen3_4b,Qwen3-4B,4,-0.078125,0.03125,0.34375,0.5,0.0929987848054183
qwen3_4b,Qwen3-4B,5,-0.1328125,-0.125,0.4375,0.4375,0.030068843668307227
qwen3_4b,Qwen3-4B,6,-0.046875,-0.0625,0.6875,0.375,0.11631011945268589
qwen3_4b,Qwen3-4B,7,-0.00390625,0.0,1.1875,0.5,0.10052107457620914
qwen3_4b,Qwen3-4B,8,-0.0234375,-0.078125,1.1875,0.3125,-0.03382179319422957
qwen3_4b,Qwen3-4B,9,-0.0078125,-0.0625,1.375,0.4375,0.28520320636215063
qwen3_4b,Qwen3-4B,10,0.02734375,-0.03125,1.625,0.5,0.2529506916241215
qwen3_4b,Qwen3-4B,11,-0.068359375,-0.03125,1.71875,0.375,0.3433889352262654
qwen3_4b,Qwen3-4B,12,-0.12109375,-0.0625,1.4375,0.4375,0.4507465657519694
qwen3_4b,Qwen3-4B,13,-0.189453125,-0.40625,1.4375,0.4375,0.6150729461600776
qwen3_4b,Qwen3-4B,14,-0.0390625,-0.09375,1.5,0.25,0.4343887471506834
qwen3_4b,Qwen3-4B,15,0.033203125,-0.046875,1.5,0.4375,0.4036743146517404
qwen3_4b,Qwen3-4B,16,0.078125,0.078125,1.75,0.5625,0.3198468612204639
qwen3_4b,Qwen3-4B,17,0.109375,0.125,2.125,0.625,0.4919770501714867
qwen3_4b,Qwen3-4B,18,0.095703125,0.09375,2.15625,0.5,0.6188934260840113
qwen3_4b,Qwen3-4B,19,0.080078125,0.09375,2.34375,0.5625,0.5469850174589816
qwen3_4b,Qwen3-4B,20,-0.08984375,-0.3125,2.375,0.4375,0.9598288278498425
qwen3_4b,Qwen3-4B,21,0.001953125,0.0,2.53125,0.5,0.8093049624053292
qwen3_4b,Qwen3-4B,22,-0.05078125,-0.34375,3.65625,0.4375,0.8832008186633781
qwen3_4b,Qwen3-4B,23,0.05078125,0.0625,3.71875,0.5,0.5977509455773427
qwen3_4b,Qwen3-4B,24,-0.078125,0.0,2.46875,0.4375,0.5173110293596073
qwen3_4b,Qwen3-4B,25,-0.021484375,-0.09375,2.40625,0.4375,0.4147877228100839
qwen3_4b,Qwen3-4B,26,-0.078125,-0.3125,2.5,0.3125,0.5487358962264799
qwen3_4b,Qwen3-4B,27,-0.01953125,-0.03125,2.15625,0.375,0.6594966676710855
qwen3_4b,Qwen3-4B,28,0.08984375,-0.03125,2.0,0.5,0.607445082302745
qwen3_4b,Qwen3-4B,29,-0.017578125,0.21875,2.4375,0.5625,0.7569653018698278
qwen3_4b,Qwen3-4B,30,0.025390625,0.5625,2.5625,0.5625,0.9814049865142596
qwen3_4b,Qwen3-4B,31,-0.091796875,0.21875,3.125,0.5625,1.1742573641342964
qwen3_4b,Qwen3-4B,32,-0.056640625,0.34375,3.3125,0.5625,1.2181374868404498
qwen3_4b,Qwen3-4B,33,-0.025390625,0.5,3.375,0.5625,1.1453840698868591
qwen3_4b,Qwen3-4B,34,-0.044921875,0.5625,3.125,0.5625,1.101803247441128
qwen3_4b,Qwen3-4B,35,-0.013671875,0.4375,3.0625,0.5625,1.0
