model,model_display_name,condition_a,condition_b,metric,n_pairs,metric_a,metric_b,paired_metric_diff,ci_low,ci_high,p_diff_le_0
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,nl_binary_score,strict_ccc,3393,0.4921898025346301,0.3866784556439729,0.10551134689065723,0.08634689065723548,0.12348953728264073,0.0
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,nl_binary_score,scca,3393,0.3327438844680224,0.27645151783082816,0.056292366637194224,0.041548776893604485,0.07073386383731212,0.0
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,nl_binary_score,wrong_flip,3393,0.1594459180666077,0.11022693781314472,0.04921898025346301,0.036545829649277925,0.06130268199233716,0.0
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,nl_binary_score,signed_ccc,3393,0.17329796640141468,0.16622458001768348,0.007073386383731211,-0.013557323902151489,0.028293545534924844,0.253
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,3393,0.4921898025346301,0.3704686118479222,0.12172119068670793,0.10197465369879163,0.14088564692012967,0.0
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,3393,0.3327438844680224,0.22841143530798702,0.10433244916003537,0.08929413498379016,0.11967285587975242,0.0
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,3393,0.1594459180666077,0.14205717653993516,0.017388741526672562,0.005305039787798408,0.02976716769820218,0.001
qwen3_4b,Qwen3-4B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,3393,0.17329796640141468,0.08635425876805188,0.0869437076333628,0.06690244621279104,0.10698496905393456,0.0
qwen3_4b,Qwen3-4B,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,3393,0.3704686118479222,0.3866784556439729,-0.016209843796050692,-0.034482758620689655,0.00206307102858827,0.96
qwen3_4b,Qwen3-4B,symbolic_shuffled_binary_score,nl_binary_score,scca,3393,0.22841143530798702,0.27645151783082816,-0.04804008252284114,-0.06337312113174183,-0.033289124668435026,1.0
qwen3_4b,Qwen3-4B,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,3393,0.14205717653993516,0.11022693781314472,0.03183023872679045,0.020041261420571766,0.04332449160035367,0.0
qwen3_4b,Qwen3-4B,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,3393,0.08635425876805188,0.16622458001768348,-0.0798703212496316,-0.09902740937223696,-0.060123784261715295,1.0
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,nl_binary_score,strict_ccc,3393,0.47774830533451224,0.4468022399056882,0.03094606542882405,0.01444149720011789,0.04892425582080755,0.0
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,nl_binary_score,scca,3393,0.32950191570881227,0.30297671676982024,0.026525198938992044,0.011486884762746832,0.0412614205717654,0.001
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,nl_binary_score,wrong_flip,3393,0.14824638962569997,0.14382552313586797,0.004420866489832007,-0.005025051576775714,0.014154140878278801,0.207
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,nl_binary_score,signed_ccc,3393,0.1812555260831123,0.15915119363395225,0.022104332449160036,0.0014736221632773356,0.0394930739758326,0.018
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,3393,0.47774830533451224,0.40200412614205716,0.07574417919245506,0.05511346890657236,0.09755378720895962,0.0
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,3393,0.32950191570881227,0.24786324786324787,0.0816386678455644,0.0645446507515473,0.0987326849395815,0.0
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,3393,0.14824638962569997,0.15414087827880932,-0.0058944886531093425,-0.019157088122605363,0.007073386383731211,0.823
qwen3_8b,Qwen3-8B,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,3393,0.1812555260831123,0.09372236958443855,0.08753315649867374,0.06424992631889184,0.10934276451517831,0.0
qwen3_8b,Qwen3-8B,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,3393,0.40200412614205716,0.4468022399056882,-0.044798113763631006,-0.06514146772767462,-0.02564102564102564,1.0
qwen3_8b,Qwen3-8B,symbolic_shuffled_binary_score,nl_binary_score,scca,3393,0.24786324786324787,0.30297671676982024,-0.05511346890657236,-0.07161803713527852,-0.040377247273798995,1.0
qwen3_8b,Qwen3-8B,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,3393,0.15414087827880932,0.14382552313586797,0.01031535514294135,-0.002652519893899204,0.022399056881815503,0.056
qwen3_8b,Qwen3-8B,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,3393,0.09372236958443855,0.15915119363395225,-0.06542882404951371,-0.0869510757441792,-0.04567491895078103,1.0
