model,model_display_name,sample_mode,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_0_6b,Qwen3-0.6B,formal,direct,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,correlation,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,det-counterfactual,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,direct,nie,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,ate,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,backadj,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,correlation,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,det-counterfactual,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,ett,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,marginal,100,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,nde,60,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,formal,structured,nie,60,0.5,1.0
qwen3_4b,Qwen3-4B,formal,direct,ate,100,0.67,1.0
qwen3_4b,Qwen3-4B,formal,direct,backadj,100,0.53,1.0
qwen3_4b,Qwen3-4B,formal,direct,correlation,100,0.66,1.0
qwen3_4b,Qwen3-4B,formal,direct,det-counterfactual,60,0.5166666666666667,1.0
qwen3_4b,Qwen3-4B,formal,direct,ett,60,0.43333333333333335,1.0
qwen3_4b,Qwen3-4B,formal,direct,marginal,100,0.53,1.0
qwen3_4b,Qwen3-4B,formal,direct,nde,60,0.6666666666666666,1.0
qwen3_4b,Qwen3-4B,formal,direct,nie,60,0.5666666666666667,1.0
qwen3_4b,Qwen3-4B,formal,structured,ate,100,0.66,1.0
qwen3_4b,Qwen3-4B,formal,structured,backadj,100,0.52,1.0
qwen3_4b,Qwen3-4B,formal,structured,correlation,100,0.61,1.0
qwen3_4b,Qwen3-4B,formal,structured,det-counterfactual,60,0.48333333333333334,1.0
qwen3_4b,Qwen3-4B,formal,structured,ett,60,0.55,1.0
qwen3_4b,Qwen3-4B,formal,structured,marginal,100,0.5,1.0
qwen3_4b,Qwen3-4B,formal,structured,nde,60,0.6,1.0
qwen3_4b,Qwen3-4B,formal,structured,nie,60,0.5333333333333333,1.0
qwen3_8b,Qwen3-8B,formal,direct,ate,100,0.74,1.0
qwen3_8b,Qwen3-8B,formal,direct,backadj,100,0.41,1.0
qwen3_8b,Qwen3-8B,formal,direct,correlation,100,0.63,1.0
qwen3_8b,Qwen3-8B,formal,direct,det-counterfactual,60,0.5666666666666667,1.0
qwen3_8b,Qwen3-8B,formal,direct,ett,60,0.4666666666666667,1.0
qwen3_8b,Qwen3-8B,formal,direct,marginal,100,0.44,1.0
qwen3_8b,Qwen3-8B,formal,direct,nde,60,0.5166666666666667,1.0
qwen3_8b,Qwen3-8B,formal,direct,nie,60,0.6166666666666667,1.0
qwen3_8b,Qwen3-8B,formal,structured,ate,100,0.71,1.0
qwen3_8b,Qwen3-8B,formal,structured,backadj,100,0.41,1.0
qwen3_8b,Qwen3-8B,formal,structured,correlation,100,0.59,1.0
qwen3_8b,Qwen3-8B,formal,structured,det-counterfactual,60,0.55,1.0
qwen3_8b,Qwen3-8B,formal,structured,ett,60,0.45,1.0
qwen3_8b,Qwen3-8B,formal,structured,marginal,100,0.45,1.0
qwen3_8b,Qwen3-8B,formal,structured,nde,60,0.5333333333333333,1.0
qwen3_8b,Qwen3-8B,formal,structured,nie,60,0.6166666666666667,1.0
